"","T01","T02","T03","T31","T32","T33","T34","T5A5","T5A6","KMR19","KMR46"
"ENSMUSG00000096796.1",3,3,9,10,9,7,9,10,16,0,0
"ENSMUSG00000038165.8",2,6,8,9,9,13,7,13,19,0,0
"ENSMUSG00000099751.6",55,67,147,98,123,111,67,159,194,0,0
"ENSMUSG00000099983.1",2,16,41,45,26,30,12,38,68,0,0
"ENSMUSG00000102012.1",1,22,12,16,6,8,7,17,38,0,0
"ENSMUSG00000099360.1",14,16,38,34,17,18,19,54,40,0,0
"ENSMUSG00000028451.12",930,1240,1015,1470,1948,1595,1634,3106,2399,3,1
"ENSMUSG00000097523.1",64,64,54,49,47,47,58,87,67,2,6
"ENSMUSG00000087393.1",20,20,30,18,12,4,11,21,24,0,0
"ENSMUSG00000100000.6",230,790,1390,597,846,738,418,1863,1208,0,0
"ENSMUSG00000020940.13",13,34,69,46,43,70,37,94,89,2,1
"ENSMUSG00000089827.1",69,78,43,120,293,127,149,267,108,0,0
"ENSMUSG00000052334.11",22,22,96,66,65,59,35,117,153,0,2
"ENSMUSG00000099994.1",23,53,94,65,56,78,39,86,133,0,0
"ENSMUSG00000072473.3",28,42,62,54,51,74,48,84,90,0,0
"ENSMUSG00000069890.3",1,1,3,2,2,3,4,8,12,0,0
"ENSMUSG00000045022.6",0,2,1,2,3,0,2,5,3,0,0
"ENSMUSG00000078612.9",242,369,587,460,412,446,338,653,891,22,54
"ENSMUSG00000101113.1",6,10,28,12,17,27,12,17,30,0,0
"ENSMUSG00000078935.1",22,35,89,62,58,83,15,89,117,0,0
"ENSMUSG00000086760.1",9,9,32,16,18,16,14,37,53,0,0
"ENSMUSG00000024728.13",39,50,111,84,75,82,48,109,154,0,0
"ENSMUSG00000100558.1",36,74,109,54,49,99,75,102,156,0,0
"ENSMUSG00000032666.16",5262,5313,7157,3823,4603,4321,3603,10799,6145,955,1342
"ENSMUSG00000101888.1",8,20,41,22,24,21,21,34,48,0,0
"ENSMUSG00000099747.1",18,34,97,52,43,34,31,79,86,0,0
"ENSMUSG00000100175.6",33,70,131,107,117,107,67,142,181,0,0
"ENSMUSG00000090200.1",15,23,36,17,36,22,14,68,52,0,0
"ENSMUSG00000100121.1",15,28,24,53,64,68,50,53,52,1,0
"ENSMUSG00000028244.6",3,13,33,31,20,34,14,37,45,0,0
"ENSMUSG00000086379.7",63,83,198,170,165,176,110,239,298,0,0
"ENSMUSG00000101854.2",247,396,660,546,819,690,575,2241,2439,0,0
"ENSMUSG00000073976.10",74,114,189,160,132,169,110,230,324,0,0
"ENSMUSG00000097716.1",1,8,13,9,5,5,5,7,11,0,0
"ENSMUSG00000084864.1",28,30,27,18,16,15,9,40,21,0,0
"ENSMUSG00000101968.6",107,132,249,185,156,148,105,236,344,0,2
"ENSMUSG00000100911.2",22,44,85,44,67,54,26,92,105,0,0
